SKU,Product Name,Product Class,Product Category,Product Subcategory,Product Model#,Processor,Processor Description,GHz,Screen Size,RAM,Resolution,GPU,VRAM,HD,HD Type,Color,Carrier,Year,Model ID,UPC,Type,Spec,Charger
CPOPU-0173A,"Tactus SM014, iPhone 6, Purple",Case,iPhone,6,SM014,NA,NA,NA,NA,NA,,,,NA,NA,Purple,NA,,,,,,NA
CPOPU-0180A,"Tactus SM023, iPhone 6+, Purple",Case,iPhone,6+,SM023,NA,NA,NA,NA,NA,,,,NA,NA,Purple,NA,,,,,,NA
CPOWH-0125A,"MC668ZM/B, iPhone 4/4s, White",Case,iPhone,4/4s,MC668ZM/B,NA,NA,NA,NA,NA,,,,NA,NA,White,NA,,,,,,NA
PBDNA-0286A,"Bornd C160, Mice and Keyboards Mouse, White",Peripheral,Mice and Keyboards,Mouse,C160,NA,NA,NA,NA,NA,,,,NA,NA,White,NA,,,,,,NA
ACNNA-0011A,"Adapter 30 Pin to Female VGA,",Cable,Adapter,30 Pin to Female VGA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
ACNNA-0013A,"Adapter Mini VGA to HDMI,",Cable,Adapter,Mini VGA to HDMI,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
BBPNA-0032A,"Solo UBN1710-10, Laptop Backpack Up to 15.6"", Black",Bag,Laptop Backpack,"Up to 15.6""",UBN1710-10,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
BLSNA-0046A,"Targus TBS005US, Laptop Sleeve Up to 15.6"", Black",Bag,Laptop Sleeve,"Up to 15.6""",TBS005US,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
BLSPU-0040A,"Golla Sharon CG1060, Laptop Sleeve Up to 14"", Purple",Bag,Laptop Sleeve,"Up to 14""",Sharon CG1060,NA,NA,NA,NA,NA,,,,NA,NA,Purple,NA,,,,,,NA
BLSWH-0041A,"Golla Sydney Macair 11"" G1310, Laptop Sleeve Up to 11.6"", White",Bag,Laptop Sleeve,"Up to 11.6""","Sydney Macair 11"" G1310",NA,NA,NA,NA,NA,,,,NA,NA,White,NA,,,,,,NA
CPDBK-0078A,"Smart, iPad Air 1, Black",Case,iPad,Air 1,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPDBU-0102A,"Smart, iPad Mini, Blue",Case,iPad,Mini,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Blue,NA,,,,,,NA
CPDGN-0075A,"Smart, iPad Air 1, Green",Case,iPad,Air 1,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Green,NA,,,,,,NA
CPDGY-0111A,"Nicole Miller IPA4001-SI, iPad Mini, Gray Brown",Case,iPad,Mini,IPA4001-SI,NA,NA,NA,NA,NA,,,,NA,NA,Gray Brown,NA,,,,,,NA
CPDNA-0108A,"iPad Keyboard Mini,",Case,iPad Keyboard,Mini,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
CPDNA-0117A,"Zagg iPad Mini,",Case,iPad,Mini,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
CPDPK-0064A,"Smart, iPad 2/3/4, Pink",Case,iPad,2/3/4,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Pink,NA,,,,,,NA
CPDPK-0099A,"Shock Proof Kid Case, iPad Mini 1/2/3, Pink",Case,iPad,Mini 1/2/3,Shock Proof Kid Case,NA,NA,NA,NA,NA,,,,NA,NA,Pink,NA,,,,,,NA
CPDRD-0077A,"Smart, iPad Air 1, Red",Case,iPad,Air 1,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Red,NA,,,,,,NA
CPOBK-0144A,"Otter Box 990580, iPhone 5s, Black",Case,iPhone,5s,990580,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPOGN-0131A,"MF037ZM/A, iPhone 5c, Green",Case,iPhone,5c,MF037ZM/A,NA,NA,NA,NA,NA,,,,NA,NA,Green,NA,,,,,,NA
CPONA-0155A,"iPhone 6,",Case,iPhone,6,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
