SKU,Product Name,Product Class,Product Category,Product Subcategory,Product Model#,Processor,Processor Description,GHz,Screen Size,RAM,Resolution,GPU,VRAM,HD,HD Type,Color,Carrier,Year,Model ID,UPC,Type,Spec,Charger
TA132-0002A,"MF004LL/A, Cellular Air 1st Gen, A7 9.7""/32GB Flash/Verizon/Space Grey",Tablet,Cellular,Air 1st Gen,MF004LL/A,A7,A7 Chip,NA,9.7,NA,,,,32GB,Flash,Space Grey,Verizon,iPad Air (Wi-Fi + Cellular),"iPad4,2",,iPad Air 1st Gen,MF004LL/A/iPad Air 1st Gen/32GB/Verizon/Space Grey,Lightning Charger
TA132-0002B,"MF004LL/A, Cellular Air 1st Gen, A7 9.7""/32GB Flash/Verizon/Space Grey, B-Grade",Tablet,Cellular,Air 1st Gen,MF004LL/A,A7,A7 Chip,NA,9.7,NA,,,,32GB,Flash,Space Grey,Verizon,iPad Air (Wi-Fi + Cellular),"iPad4,2",,iPad Air 1st Gen,MF004LL/A/iPad Air 1st Gen/32GB/Verizon/Space Grey,Lightning Charger
TA132-0003A,"MD789LL/A, WiFi-Only Air 1st Gen, A7 9.7""/32GB Flash/White",Tablet,WiFi-Only,Air 1st Gen,MD789LL/A,A7,A7 Chip,NA,9.7,NA,,,,32GB,Flash,White,NA,iPad Air (Wi-Fi),"iPad4,1",,iPad Air 1st Gen,MD789LL/A/iPad Air 1st Gen/32GB/NA/White,Lightning Charger
TA132-0003B,"MD789LL/A, WiFi-Only Air 1st Gen, A7 9.7""/32GB Flash/White, B-Grade",Tablet,WiFi-Only,Air 1st Gen,MD789LL/A,A7,A7 Chip,NA,9.7,NA,,,,32GB,Flash,White,NA,iPad Air (Wi-Fi),"iPad4,1",,iPad Air 1st Gen,MD789LL/A/iPad Air 1st Gen/32GB/NA/White,Lightning Charger
TA164-0001A,"MD790LL/A, WiFi-Only Air 1st Gen, A7 9.7""/64GB Flash/White",Tablet,WiFi-Only,Air 1st Gen,MD790LL/A,A7,A7 Chip,NA,9.7,NA,,,,64GB,Flash,White,NA,iPad Air (Wi-Fi),"iPad4,1",,iPad Air 1st Gen,MD790LL/A/iPad Air 1st Gen/64GB/NA/White,Lightning Charger
TA164-0001B,"MD790LL/A, WiFi-Only Air 1st Gen, A7 9.7""/64GB Flash/White, B-Grade",Tablet,WiFi-Only,Air 1st Gen,MD790LL/A,A7,A7 Chip,NA,9.7,NA,,,,64GB,Flash,White,NA,iPad Air (Wi-Fi),"iPad4,1",,iPad Air 1st Gen,MD790LL/A/iPad Air 1st Gen/64GB/NA/White,Lightning Charger
TA164-0002A,"MF009LL/A, Cellular Air 1st Gen, A7 9.7""/64GB Flash/AT&T/Black",Tablet,Cellular,Air 1st Gen,MF009LL/A,A7,A7 Chip,NA,9.7,NA,,,,64GB,Flash,Black,AT&T,iPad Air (Wi-Fi + Cellular),"iPad4,2",,iPad Air 1st Gen,MF009LL/A/iPad Air 1st Gen/64GB/AT&T/Black,Lightning Charger
TA164-0002B,"MF009LL/A, Cellular Air 1st Gen, A7 9.7""/64GB Flash/AT&T/Black, B-Grade",Tablet,Cellular,Air 1st Gen,MF009LL/A,A7,A7 Chip,NA,9.7,NA,,,,64GB,Flash,Black,AT&T,iPad Air (Wi-Fi + Cellular),"iPad4,2",,iPad Air 1st Gen,MF009LL/A/iPad Air 1st Gen/64GB/AT&T/Black,Lightning Charger
TM116-0001B,"ME030LL/A, Cellular Mini 1st Gen, A5 7.9""/16GB Flash/AT&T/Black, B-Grade",Tablet,Cellular,Mini 1st Gen,ME030LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,Black,AT&T,iPad mini (Wi-Fi + Cellular),"iPad2,6",,iPad Mini 1st Gen,ME030LL/A/iPad Mini 1st Gen/16GB/AT&T/Black,Lightning Charger
TM116-0002A,"MD537LL/A, Cellular Mini 1st Gen, A5 7.9""/16GB Flash/AT&T/White",Tablet,Cellular,Mini 1st Gen,MD537LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,White,AT&T,iPad mini (Wi-Fi + Cellular),"iPad2,6",,iPad Mini 1st Gen,MD537LL/A/iPad Mini 1st Gen/16GB/AT&T/White,Lightning Charger
TM116-0002B,"MD537LL/A, Cellular Mini 1st Gen, A5 7.9""/16GB Flash/AT&T/White, B-Grade",Tablet,Cellular,Mini 1st Gen,MD537LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,White,AT&T,iPad mini (Wi-Fi + Cellular),"iPad2,6",,iPad Mini 1st Gen,MD537LL/A/iPad Mini 1st Gen/16GB/AT&T/White,Lightning Charger
TM116-0003A,"MD540LL/A, Cellular Mini 1st Gen, A5 7.9""/16GB Flash/Verizon/Black",Tablet,Cellular,Mini 1st Gen,MD540LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,Black,Verizon,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",Groupon,iPad Mini 1st Gen,MD540LL/A/iPad Mini 1st Gen/16GB/Verizon/Black,Lightning Charger
TM116-0003B,"MD540LL/A, Cellular Mini 1st Gen, A5 7.9""/16GB Flash/Verizon/Black, B-Grade",Tablet,Cellular,Mini 1st Gen,MD540LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,Black,Verizon,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,MD540LL/A/iPad Mini 1st Gen/16GB/Verizon/Black,Lightning Charger
TM116-0004A,"MD543LL/A, Cellular Mini 1st Gen, A5 7.9""/16GB Flash/Verizon/White",Tablet,Cellular,Mini 1st Gen,MD543LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,White,Verizon,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,MD543LL/A/iPad Mini 1st Gen/16GB/Verizon/White,Lightning Charger
TM116-0004B,"MD543LL/A, Cellular Mini 1st Gen, A5 7.9""/16GB Flash/Verizon/White, B-Grade",Tablet,Cellular,Mini 1st Gen,MD543LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,White,Verizon,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,MD543LL/A/iPad Mini 1st Gen/16GB/Verizon/White,Lightning Charger
TM116-0005A,"MD528LL/A, WiFi-Only Mini 1st Gen, A5 7.9""/16GB Flash/Black/Slate",Tablet,WiFi-Only,Mini 1st Gen,MD528LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,Black/Slate,NA,iPad mini (Wi-Fi),"iPad2,5",Groupon,iPad Mini 1st Gen,MD528LL/A/iPad Mini 1st Gen/16GB/NA/Black/Slate,Lightning Charger
TM116-0006A,"MF453LL/A, Cellular Mini 1st Gen, A5 7.9""/16GB Flash/Sprint/Space Grey",Tablet,Cellular,Mini 1st Gen,MF453LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,Space Grey,Sprint,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,MF453LL/A/iPad Mini 1st Gen/16GB/Sprint/Space Grey,Lightning Charger
TM116-0006B,"MF453LL/A, Cellular Mini 1st Gen, A5 7.9""/16GB Flash/Sprint/Space Grey, B-Grade",Tablet,Cellular,Mini 1st Gen,MF453LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,Space Grey,Sprint,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,MF453LL/A/iPad Mini 1st Gen/16GB/Sprint/Space Grey,Lightning Charger
TM116-0007A,"MD531LL/A, WiFi-Only Mini 1st Gen, A5 7.9""/16GB Flash/White",Tablet,WiFi-Only,Mini 1st Gen,MD531LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,White,NA,iPad mini (Wi-Fi),"iPad2,5",Petra,iPad Mini 1st Gen,MD531LL/A/iPad Mini 1st Gen/16GB/NA/White,Lightning Charger
TM116-0007B,"MD531LL/A, WiFi-Only Mini 1st Gen, A5 7.9""/16GB Flash/White, B-Grade",Tablet,WiFi-Only,Mini 1st Gen,MD531LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,White,NA,iPad mini (Wi-Fi),"iPad2,5",,iPad Mini 1st Gen,MD531LL/A/iPad Mini 1st Gen/16GB/NA/White,Lightning Charger
TM116-0008A,"ME215LL/A, Cellular Mini 1st Gen, A5 7.9""/16GB Flash/Sprint/Black",Tablet,Cellular,Mini 1st Gen,ME215LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,Black,Sprint,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,ME215LL/A/iPad Mini 1st Gen/16GB/Sprint/Black,Lightning Charger
TM116-0008B,"ME215LL/A, Cellular Mini 1st Gen, A5 7.9""/16GB Flash/Sprint/Black, B-Grade",Tablet,Cellular,Mini 1st Gen,ME215LL/A,A5,A5 Chip,NA,7.9,NA,,,,16GB,Flash,Black,Sprint,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,ME215LL/A/iPad Mini 1st Gen/16GB/Sprint/Black,Lightning Charger
TM132-0001A,"MD535LL/A, Cellular Mini 1st Gen, A5 7.9""/32GB Flash/AT&T/Black",Tablet,Cellular,Mini 1st Gen,MD535LL/A,A5,A5 Chip,NA,7.9,NA,,,,32GB,Flash,Black,AT&T,iPad mini (Wi-Fi + Cellular),"iPad2,6",,iPad Mini 1st Gen,MD535LL/A/iPad Mini 1st Gen/32GB/AT&T/Black,Lightning Charger
TM132-0001B,"MD535LL/A, Cellular Mini 1st Gen, A5 7.9""/32GB Flash/AT&T/Black, B-Grade",Tablet,Cellular,Mini 1st Gen,MD535LL/A,A5,A5 Chip,NA,7.9,NA,,,,32GB,Flash,Black,AT&T,iPad mini (Wi-Fi + Cellular),"iPad2,6",,iPad Mini 1st Gen,MD535LL/A/iPad Mini 1st Gen/32GB/AT&T/Black,Lightning Charger
TM132-0002A,"MD541LL/A, Cellular Mini 1st Gen, A5 7.9""/32GB Flash/Verizon/Black",Tablet,Cellular,Mini 1st Gen,MD541LL/A,A5,A5 Chip,NA,7.9,NA,,,,32GB,Flash,Black,Verizon,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,MD541LL/A/iPad Mini 1st Gen/32GB/Verizon/Black,Lightning Charger
TM132-0002B,"MD541LL/A, Cellular Mini 1st Gen, A5 7.9""/32GB Flash/Verizon/Black, B-Grade",Tablet,Cellular,Mini 1st Gen,MD541LL/A,A5,A5 Chip,NA,7.9,NA,,,,32GB,Flash,Black,Verizon,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,MD541LL/A/iPad Mini 1st Gen/32GB/Verizon/Black,Lightning Charger
TM132-0003A,"ME219LL/A, Cellular Mini 1st Gen, A5 7.9""/32GB Flash/Sprint/White",Tablet,Cellular,Mini 1st Gen,ME219LL/A,A5,A5 Chip,NA,7.9,NA,,,,32GB,Flash,White,Sprint,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,ME219LL/A/iPad Mini 1st Gen/32GB/Sprint/White,Lightning Charger
TM132-0003B,"ME219LL/A, Cellular Mini 1st Gen, A5 7.9""/32GB Flash/Sprint/White, B-Grade",Tablet,Cellular,Mini 1st Gen,ME219LL/A,A5,A5 Chip,NA,7.9,NA,,,,32GB,Flash,White,Sprint,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,ME219LL/A/iPad Mini 1st Gen/32GB/Sprint/White,Lightning Charger
TM164-0001A,"MD530LL/A, WiFi-Only Mini 1st Gen, A5 7.9""/64GB Flash/Black",Tablet,WiFi-Only,Mini 1st Gen,MD530LL/A,A5,A5 Chip,NA,7.9,NA,,,,64GB,Flash,Black,NA,iPad mini (Wi-Fi),"iPad2,5",,iPad Mini 1st Gen,MD530LL/A/iPad Mini 1st Gen/64GB/NA/Black,Lightning Charger
TM164-0001B,"MD530LL/A, WiFi-Only Mini 1st Gen, A5 7.9""/64GB Flash/Black, B-Grade",Tablet,WiFi-Only,Mini 1st Gen,MD530LL/A,A5,A5 Chip,NA,7.9,NA,,,,64GB,Flash,Black,NA,iPad mini (Wi-Fi),"iPad2,5",,iPad Mini 1st Gen,MD530LL/A/iPad Mini 1st Gen/64GB/NA/Black,Lightning Charger
TM164-0002A,"MD533LL/A, WiFi-Only Mini 1st Gen, A5 7.9""/64GB Flash/White",Tablet,WiFi-Only,Mini 1st Gen,MD533LL/A,A5,A5 Chip,NA,7.9,NA,,,,64GB,Flash,White,NA,iPad mini (Wi-Fi),"iPad2,5",,iPad Mini 1st Gen,MD533LL/A/iPad Mini 1st Gen/64GB/NA/White,Lightning Charger
TM164-0002B,"MD533LL/A, WiFi-Only Mini 1st Gen, A5 7.9""/64GB Flash/White, B-Grade",Tablet,WiFi-Only,Mini 1st Gen,MD533LL/A,A5,A5 Chip,NA,7.9,NA,,,,64GB,Flash,White,NA,iPad mini (Wi-Fi),"iPad2,5",,iPad Mini 1st Gen,MD533LL/A/iPad Mini 1st Gen/64GB/NA/White,Lightning Charger
TM164-0003A,"MD536LL/A, Cellular Mini 1st Gen, A5 7.9""/64GB Flash/AT&T/Black",Tablet,Cellular,Mini 1st Gen,MD536LL/A,A5,A5 Chip,NA,7.9,NA,,,,64GB,Flash,Black,AT&T,iPad mini (Wi-Fi + Cellular),"iPad2,6",,iPad Mini 1st Gen,MD536LL/A/iPad Mini 1st Gen/64GB/AT&T/Black,Lightning Charger
TM164-0003B,"MD536LL/A, Cellular Mini 1st Gen, A5 7.9""/64GB Flash/AT&T/Black, B-Grade",Tablet,Cellular,Mini 1st Gen,MD536LL/A,A5,A5 Chip,NA,7.9,NA,,,,64GB,Flash,Black,AT&T,iPad mini (Wi-Fi + Cellular),"iPad2,6",,iPad Mini 1st Gen,MD536LL/A/iPad Mini 1st Gen/64GB/AT&T/Black,Lightning Charger
TM164-0004A,"MD542LL/A, Cellular Mini 1st Gen, A5 7.9""/64GB Flash/Verizon/Black",Tablet,Cellular,Mini 1st Gen,MD542LL/A,A5,A5 Chip,NA,7.9,NA,,,,64GB,Flash,Black,Verizon,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,MD542LL/A/iPad Mini 1st Gen/64GB/Verizon/Black,Lightning Charger
TM164-0004B,"MD542LL/A, Cellular Mini 1st Gen, A5 7.9""/64GB Flash/Verizon/Black, B-Grade",Tablet,Cellular,Mini 1st Gen,MD542LL/A,A5,A5 Chip,NA,7.9,NA,,,,64GB,Flash,Black,Verizon,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,MD542LL/A/iPad Mini 1st Gen/64GB/Verizon/Black,Lightning Charger
TM164-0005A,"MD544LL/A, Cellular Mini 1st Gen, A5 7.9""/64GB Flash/Verizon/White",Tablet,Cellular,Mini 1st Gen,MD544LL/A,A5,A5 Chip,NA,7.9,NA,,,,64GB,Flash,White,Verizon,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,MD544LL/A/iPad Mini 1st Gen/64GB/Verizon/White,Lightning Charger
TM164-0005B,"MD544LL/A, Cellular Mini 1st Gen, A5 7.9""/64GB Flash/Verizon/White, B-Grade",Tablet,Cellular,Mini 1st Gen,MD544LL/A,A5,A5 Chip,NA,7.9,NA,,,,64GB,Flash,White,Verizon,iPad mini (Wi-Fi + Cellular MM),"iPad2,7",,iPad Mini 1st Gen,MD544LL/A/iPad Mini 1st Gen/64GB/Verizon/White,Lightning Charger
TM216-0001A,"ME276LL/A, WiFi-Only Mini 2nd Gen, A7 7.9""/16GB Flash/Black",Tablet,WiFi-Only,Mini 2nd Gen,ME276LL/A,A7,A7 Chip,NA,7.9,NA,,,,16GB,Flash,Black,NA,iPad mini Retina (Wi-Fi),"iPad4,4",,iPad Mini 2nd Gen,ME276LL/A/iPad Mini 2nd Gen/16GB/NA/Black,Lightning Charger
TM216-0001B,"ME276LL/A, WiFi-Only Mini 2nd Gen, A7 7.9""/16GB Flash/Black, B-Grade",Tablet,WiFi-Only,Mini 2nd Gen,ME276LL/A,A7,A7 Chip,NA,7.9,NA,,,,16GB,Flash,Black,NA,iPad mini Retina (Wi-Fi),"iPad4,4",,iPad Mini 2nd Gen,ME276LL/A/iPad Mini 2nd Gen/16GB/NA/Black,Lightning Charger
WLCSY2U500A,"Warranty Life 2 Year, Desktop Under $500, Defect-Only",Warranty,Warranty Life,Desktop Under $500,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY2U1KA,"Warranty Life 2 Year, Desktop Under $1000, Defect-Only",Warranty,Warranty Life,Desktop Under $1000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY2U2KA,"Warranty Life 2 Year, Desktop Under $2000, Defect-Only",Warranty,Warranty Life,Desktop Under $2000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY2U3KA,"Warranty Life 2 Year, Desktop Under $3000, Defect-Only",Warranty,Warranty Life,Desktop Under $3000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY2U4KA,"Warranty Life 2 Year, Desktop Under $4000, Defect-Only",Warranty,Warranty Life,Desktop Under $4000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WlCSY2U5KA,"Warranty Life 2 Year, Desktop Under $5000, Defect-Only",Warranty,Warranty Life,Desktop Under $5000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY3U500A,"Warranty Life 3 Year, Desktop Under $500, Defect-Only",Warranty,Warranty Life,Desktop Under $500,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY3U1KA,"Warranty Life 3 Year, Desktop Under $1000, Defect-Only",Warranty,Warranty Life,Desktop Under $1000,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY3U2KA,"Warranty Life 3 Year, Desktop Under $2000, Defect-Only",Warranty,Warranty Life,Desktop Under $2000,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY3U3KA,"Warranty Life 3 Year, Desktop Under $3000, Defect-Only",Warranty,Warranty Life,Desktop Under $3000,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY3U4KA,"Warranty Life 3 Year, Desktop Under $4000, Defect-Only",Warranty,Warranty Life,Desktop Under $4000,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WlCSY3U5KA,"Warranty Life 3 Year, Desktop Under $5000, Defect-Only",Warranty,Warranty Life,Desktop Under $5000,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY5U500A,"Warranty Life 5 Year, Desktop Under $500, Defect-Only",Warranty,Warranty Life,Desktop Under $500,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY5U1KA,"Warranty Life 5 Year, Desktop Under $1000, Defect-Only",Warranty,Warranty Life,Desktop Under $1000,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY5U2KA,"Warranty Life 5 Year, Desktop Under $2000, Defect-Only",Warranty,Warranty Life,Desktop Under $2000,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY5U3KA,"Warranty Life 5 Year, Desktop Under $3000, Defect-Only",Warranty,Warranty Life,Desktop Under $3000,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY5U4KA,"Warranty Life 5 Year, Desktop Under $4000, Defect-Only",Warranty,Warranty Life,Desktop Under $4000,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLCSY5U5KA,"Warranty Life 5 Year, Desktop Under $5000, Defect-Only",Warranty,Warranty Life,Desktop Under $5000,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITB2U250A,"Warranty Life 2 Year, iPad Under $250, Defect-Only",Warranty,Warranty Life,iPad Under $250,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITB2U500A,"Warranty Life 2 Year, iPad Under $500, Defect-Only",Warranty,Warranty Life,iPad Under $500,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITB2U750A,"Warranty Life 2 Year, iPad Under $750, Defect-Only",Warranty,Warranty Life,iPad Under $750,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITB2U1KA,"Warranty Life 2 Year, iPad Under $1000, Defect-Only",Warranty,Warranty Life,iPad Under $1000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WlITA2U250A,"Warranty Life 2 Year, iPad Under $250, Accidental",Warranty,Warranty Life,iPad Under $250,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WlITA2U500A,"Warranty Life 2 Year, iPad Under $500, Accidental",Warranty,Warranty Life,iPad Under $500,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLITA2U750A,"Warranty Life 2 Year, iPad Under $750, Accidental",Warranty,Warranty Life,iPad Under $750,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLITA2U1KA,"Warranty Life 2 Year, iPad Under $1000, Accidental",Warranty,Warranty Life,iPad Under $1000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLITB3U250A,"Warranty Life 3 Year, iPad Under $250, Defect-Only",Warranty,Warranty Life,iPad Under $250,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITB3U500A,"Warranty Life 3 Year, iPad Under $500, Defect-Only",Warranty,Warranty Life,iPad Under $500,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITB3U750A,"Warranty Life 3 Year, iPad Under $750, Defect-Only",Warranty,Warranty Life,iPad Under $750,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITB3U1KA,"Warranty Life 3 Year, iPad Under $1000, Defect-Only",Warranty,Warranty Life,iPad Under $1000,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITA3U250A,"Warranty Life 3 Year, iPad Under $250, Accidental",Warranty,Warranty Life,iPad Under $250,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLITA3U500A,"Warranty Life 3 Year, iPad Under $500, Accidental",Warranty,Warranty Life,iPad Under $500,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLITA3U750A,"Warranty Life 3 Year, iPad Under $750, Accidental",Warranty,Warranty Life,iPad Under $750,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLITA3U1KA,"Warranty Life 3 Year, iPad Under $1000, Accidental",Warranty,Warranty Life,iPad Under $1000,3 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLITB5U250A,"Warranty Life 5 Year, iPad Under $250, Defect-Only",Warranty,Warranty Life,iPad Under $250,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITB5U500A,"Warranty Life 5 Year, iPad Under $500, Defect-Only",Warranty,Warranty Life,iPad Under $500,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITB5U750A,"Warranty Life 5 Year, iPad Under $750, Defect-Only",Warranty,Warranty Life,iPad Under $750,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITB5U1KA,"Warranty Life 5 Year, iPad Under $1000, Defect-Only",Warranty,Warranty Life,iPad Under $1000,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLITA5U250A,"Warranty Life 5 Year, iPad Under $250, Accidental",Warranty,Warranty Life,iPad Under $250,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLITA5U500A,"Warranty Life 5 Year, iPad Under $500, Accidental",Warranty,Warranty Life,iPad Under $500,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLITA5U750A,"Warranty Life 5 Year, iPad Under $750, Accidental",Warranty,Warranty Life,iPad Under $750,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLITA5U1KA,"Warranty Life 5 Year, iPad Under $1000, Accidental",Warranty,Warranty Life,iPad Under $1000,5 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLLAP2U500A,"Warranty Life 2 Year, Laptop Under $500, Defect-Only",Warranty,Warranty Life,Laptop Under $500,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLLAP2U1KA,"Warranty Life 2 Year, Laptop Under $1000, Defect-Only",Warranty,Warranty Life,Laptop Under $1000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLLAP2U2KA,"Warranty Life 2 Year, Laptop Under $2000, Defect-Only",Warranty,Warranty Life,Laptop Under $2000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLLAP2U3KA,"Warranty Life 2 Year, Laptop Under $3000, Defect-Only",Warranty,Warranty Life,Laptop Under $3000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLLAP2U4KA,"Warranty Life 2 Year, Laptop Under $4000, Defect-Only",Warranty,Warranty Life,Laptop Under $4000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLLAP2U5KA,"Warranty Life 2 Year, Laptop Under $5000, Defect-Only",Warranty,Warranty Life,Laptop Under $5000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Defect-Only,NA,,,,,,NA
WLLPA2U500A,"Warranty Life 2 Year, Laptop Under $500, Accidental",Warranty,Warranty Life,Laptop Under $500,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLLPA2U1KA,"Warranty Life 2 Year, Laptop Under $1000, Accidental",Warranty,Warranty Life,Laptop Under $1000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLLPA2U2KA,"Warranty Life 2 Year, Laptop Under $2000, Accidental",Warranty,Warranty Life,Laptop Under $2000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLLPA2U3KA,"Warranty Life 2 Year, Laptop Under $3000, Accidental",Warranty,Warranty Life,Laptop Under $3000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLLPA2U4KA,"Warranty Life 2 Year, Laptop Under $4000, Accidental",Warranty,Warranty Life,Laptop Under $4000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
WLLPA2U5KA,"Warranty Life 2 Year, Laptop Under $5000, Accidental",Warranty,Warranty Life,Laptop Under $5000,2 Year,NA,NA,NA,NA,NA,,,,NA,NA,Accidental,NA,,,,,,NA
